[2026-09-13 19:48:49]	[CDH] shell attached run5 
[2026-09-13 19:48:50]	[CDH] shell query complete 
[2026-09-13 19:48:50]	[CDH] shell found AugustusAnt136.Civ7Save turn 136 age AGE_ANTIQUITY missingMods=0 unowned=0 
[2026-09-13 19:48:50]	[CDH] shell handleLoadSave returned true 
[2026-09-13 19:48:53]	Unhandled Promise Rejection: ReferenceError: WorldUI is not defined.  Re-run with inspector attached for callstack. 
[2026-09-13 19:48:53]	Unhandled rejection error value: ReferenceError: WorldUI is not defined
[2026-09-13 19:49:15]	[CDH] attached run10 
[2026-09-13 19:49:15]	[CulturalDiffusion] boot (turnInterval 1, verb purchasePlot, enabled true) 
[2026-09-13 19:49:28]	[CDH] R10 start turn=136 
[2026-09-13 19:49:40]	Tutorial: Autoplay started, auto-marking complete any active items. 
[2026-09-13 19:49:45]	Unhandled Promise Rejection: Timeout 5000ms exceeded for waitUntilValue on ..  Re-run with inspector attached for callstack. 
[2026-09-13 19:49:45]	Unhandled Promise Rejection: Timeout 5000ms exceeded for waitUntilValue on ..  Re-run with inspector attached for callstack. 
[2026-09-13 19:49:49]	[CulturalDiffusion] inject 92,32 civ=0 culture=39.6 vitality=57.1 strength=83.83 stock=10 cap=167662.14 
[2026-09-13 19:49:49]	[CulturalDiffusion] inject 87,32 civ=0 culture=13 vitality=33.85 strength=33.84 stock=10 cap=67689.75 
[2026-09-13 19:49:49]	[CulturalDiffusion] inject 84,35 civ=0 culture=1 vitality=24.1 strength=5.67 stock=10 cap=11345.41 
[2026-09-13 19:49:49]	[CulturalDiffusion] inject 93,26 civ=0 culture=13 vitality=23.9 strength=29.96 stock=10 cap=59926.19 
[2026-09-13 19:49:49]	[CulturalDiffusion] inject 86,20 civ=0 culture=0 vitality=11.3 strength=0 stock=0 cap=0 
[2026-09-13 19:49:49]	[CulturalDiffusion] inject 90,37 civ=3 culture=5 vitality=22.65 strength=10.86 stock=10 cap=21710.13 
[2026-09-13 19:49:49]	[CulturalDiffusion] inject 82,23 civ=3 culture=5 vitality=16.35 strength=9.68 stock=10 cap=19369.56 
